,Code,Name,Date,Time in UTC,Record Identifier,Status,Latitude,Longitude,Max Wind,Max Pressure,34 kt wind radii maximum extent in northeastern quadrant,34 kt wind radii maximum extent in southeastern quadrant,34 kt wind radii maximum extent in northwestern quadrant,34 kt wind radii maximum extent in southwestern quadrant,50 kt wind radii maximum extent in northeastern quadrant,50 kt wind radii maximum extent in southeastern quadrant,50 kt wind radii maximum extent in northwestern quadrant,50 kt wind radii maximum extent in southwestern quadrant,64 kt wind radii maximum extent in northeastern quadrant,64 kt wind radii maximum extent in southeastern quadrant,64 kt wind radii maximum extent in northwestern quadrant,64 kt wind radii maximum extent in southwestern quadrant,Radius of Max Wind
70,AL061889,            UNNAMED,18890923, 0400, L, HU, 29.1N,  89.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
71,AL011891,            UNNAMED,18910705, 2200, L, HU, 28.8N,  95.5W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
72,AL031891,            UNNAMED,18910824, 1500, L, HU, 25.4N,  80.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
73,AL041893,            UNNAMED,18930824, 1200, L, HU, 40.7N,  73.9W,  75,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
74,AL061893,            UNNAMED,18930828, 0500, L, HU, 31.7N,  81.1W, 100,  954, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
75,AL081893,            UNNAMED,18930907, 1400, L, HU, 29.2N,  91.1W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
76,AL091893,            UNNAMED,18931013, 1300, L, HU, 33.0N,  79.5W, 105,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
77,AL101893,            UNNAMED,18931002, 0800, L, HU, 29.3N,  89.8W, 115,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
78,AL041894,            UNNAMED,18940925, 1100, L, HU, 24.7N,  82.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
79,AL051894,            UNNAMED,18941009, 0300, L, HU, 30.2N,  85.5W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
80,AL011896,            UNNAMED,18960707, 1700, L, HU, 30.4N,  86.5W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
81,AL021896,            UNNAMED,18960910, 1300, L, HU, 41.2N,  70.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
82,AL041896,            UNNAMED,18960929, 1100, L, HU, 29.2N,  83.1W, 110,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
83,AL021897,            UNNAMED,18970913, 0500, L, HU, 29.7N,  93.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
84,AL011898,            UNNAMED,18980802, 2300, L, HU, 29.7N,  84.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
85,AL021898,            UNNAMED,18980831, 0700, L, HU, 32.1N,  80.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
86,AL071898,            UNNAMED,18981002, 1600, L, HU, 30.9N,  81.4W, 115,  938, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
87,AL021899,            UNNAMED,18990801, 1700, L, HU, 29.7N,  84.7W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
88,AL031899,            UNNAMED,18990818, 0100, L, HU, 35.2N,  75.8W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
89,AL091899,            UNNAMED,18991031, 0900, L, HU, 33.6N,  79.0W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   35
90,AL011900,            UNNAMED,19000909, 0200, L, HU, 29.1N,  95.1W, 120,  936, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
91,AL031901,            UNNAMED,19010711, 0700, L, HU, 36.0N,  75.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
92,AL041901,            UNNAMED,19010814, 2100, L, HU, 29.3N,  89.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
93,AL031903,            UNNAMED,19030911, 2300, L, HU, 26.1N,  80.1W,  75,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
94,AL041903,            UNNAMED,19030916, 1100, L, HU, 39.1N,  74.7W,  70,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
95,AL021904,            UNNAMED,19040914, 1300, L, HU, 33.1N,  79.2W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
96,AL041904,            UNNAMED,19041017, 0800, L, HU, 25.3N,  80.3W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
97,AL021906,            UNNAMED,19060617, 0300, L, HU, 24.7N,  81.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
98,AL051906,            UNNAMED,19060917, 2200, L, HU, 33.3N,  79.2W,  80,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
99,AL061906,            UNNAMED,19060927, 1100, L, HU, 30.2N,  88.6W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   45
100,AL081906,            UNNAMED,19061018, 1000, L, HU, 24.7N,  81.1W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
101,AL021908,            UNNAMED,19080529, 2100, L, HU, 35.2N,  75.6W,  65,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
102,AL031908,            UNNAMED,19080731, 1100, L, HU, 34.6N,  77.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
103,AL021909,            UNNAMED,19090629, 1700, L, HU, 26.1N,  97.2W,  85,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
104,AL041909,            UNNAMED,19090721, 1700, L, HU, 28.9N,  95.3W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
105,AL091909,            UNNAMED,19090921, 0000, L, HU, 29.5N,  91.3W, 100,  952, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
106,AL111909,            UNNAMED,19091011, 1800, L, HU, 24.7N,  81.0W, 100,  957, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
107,AL031910,            UNNAMED,19100914, 2200, L, HU, 26.9N,  97.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
108,AL051910,            UNNAMED,19101018, 0600, L, HU, 26.5N,  82.0W,  95,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
109,AL021911,            UNNAMED,19110811, 2200, L, HU, 30.3N,  87.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
110,AL031911,            UNNAMED,19110828, 1000, L, HU, 32.2N,  80.7W,  85,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
111,AL041912,            UNNAMED,19120914, 0800, L, HU, 30.3N,  88.4W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   50
112,AL061912,            UNNAMED,19121016, 1800, L, HU, 27.1N,  97.4W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
113,AL011913,            UNNAMED,19130628, 0100, L, HU, 27.1N,  97.4W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
114,AL041913,            UNNAMED,19130903, 0800, L, HU, 34.7N,  76.6W,  75,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
115,AL051913,            UNNAMED,19131008, 1400, L, HU, 33.1N,  79.4W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
116,AL011915,            UNNAMED,19150801, 1800, L, HU, 28.7N,  80.8W,  65,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
117,AL021915,            UNNAMED,19150817, 0700, L, HU, 29.2N,  95.1W, 115,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
118,AL041915,            UNNAMED,19150904, 1100, L, HU, 30.0N,  85.4W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
119,AL061915,            UNNAMED,19150929, 1800, L, HU, 29.0N,  90.3W, 110,  944, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
120,AL021916,            UNNAMED,19160705, 2100, L, HU, 30.4N,  88.4W, 105,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
121,AL041916,            UNNAMED,19160714, 0800, L, HU, 32.9N,  79.5W,  95,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
122,AL061916,            UNNAMED,19160818, 2200, L, HU, 27.0N,  97.4W, 115,  932, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
123,AL141916,            UNNAMED,19161018, 1400, L, HU, 30.4N,  87.4W,  95,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
124,AL041917,            UNNAMED,19170929, 0200, L, HU, 30.4N,  86.6W, 100,  949, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
125,AL011918,            UNNAMED,19180806, 1800, L, HU, 29.8N,  93.2W, 105,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
126,AL031918,            UNNAMED,19180824, 2100, L, HU, 34.8N,  76.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
127,AL021919,            UNNAMED,19190910, 0700, L, HU, 24.6N,  82.9W, 130,  927, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
128,AL021920,            UNNAMED,19200922, 0100, L, HU, 29.1N,  90.8W,  85,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
129,AL011921,            UNNAMED,19210622, 1800, L, HU, 28.5N,  95.9W,  80,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
130,AL061921,            UNNAMED,19211025, 2000, L, HU, 28.1N,  82.8W, 100,  958, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
131,AL061923,            UNNAMED,19231016, 0600, L, HU, 29.2N,  91.0W,  70,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   45
132,AL051924,            UNNAMED,19240915, 1400, L, HU, 29.7N,  85.3W,  75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
133,AL101924,            UNNAMED,19241021, 0100, L, HU, 25.8N,  81.8W,  80,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
134,AL011926,            UNNAMED,19260728, 1000, L, HU, 29.0N,  80.8W,  90,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
135,AL031926,            UNNAMED,19260825, 2300, L, HU, 29.2N,  90.9W, 100,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
136,AL071926,            UNNAMED,19260918, 1200, L, HU, 25.6N,  80.3W, 125,  930, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
137,AL011928,            UNNAMED,19280808, 0700, L, HU, 27.3N,  80.2W,  85,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
138,AL041928,            UNNAMED,19280917, 0000, L, HU, 26.7N,  80.0W, 125,  929, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
139,AL011929,            UNNAMED,19290628, 2100, L, HU, 28.3N,  96.4W,  80,  982, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
140,AL021929,            UNNAMED,19290928, 1300, L, HU, 25.0N,  80.5W, 100,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
141,AL021932,            UNNAMED,19320814, 0400, L, HU, 29.0N,  95.2W, 130,  935, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
142,AL031932,            UNNAMED,19320901, 0500, L, HU, 30.2N,  88.1W,  75,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
143,AL051933,            UNNAMED,19330730, 1600, L, HU, 27.1N,  80.1W,  65,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
144,AL061933,            UNNAMED,19330823, 1000, L, HU, 35.8N,  75.6W,  80,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
145,AL081933,            UNNAMED,19330905, 0400, L, HU, 26.1N,  97.2W, 110,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
