,model_features,model_depth,mean_mae,std_mae
294,10,25,27.99028909878565,6.027658101608987
295,10,26,27.678721983384435,5.812332053702575
296,10,27,27.827160608376737,5.9362849450675705
297,10,28,27.96048986588597,5.980209797228231
298,10,29,27.893673892028097,5.9255188471392035
299,10,30,27.608108639703268,6.081693349544534
300,11,1,304.0245683259385,37.04838343784462
301,11,2,281.0375010084879,33.20980109585724
302,11,3,254.56859878011383,25.441105985711268
303,11,4,229.15135054251488,22.00861655856953
304,11,5,208.22845533578447,19.485782788952488
305,11,6,185.13246193520152,18.857514757422827
306,11,7,158.38468462156732,16.21414316552045
307,11,8,131.45153993715775,13.671077644230206
308,11,9,108.3834426995816,12.308532732428246
309,11,10,89.72379650486003,10.359688975690851
310,11,11,73.08915928784296,9.011313647376488
311,11,12,60.714765637433196,7.611500322452885
312,11,13,51.25405347300498,8.12282361590512
313,11,14,44.63702635298705,6.625477930762421
314,11,15,39.07997311521935,5.872240494557801
315,11,16,35.49858445588958,5.914835672568138
316,11,17,33.02709134876326,5.9527516092878665
317,11,18,30.97689463784473,5.830310589379175
318,11,19,30.26111035741257,6.092526221737208
319,11,20,29.328810141299236,5.627000350978382
320,11,21,29.209758841865455,5.762976806559913
321,11,22,28.92046532131282,6.089041318244505
322,11,23,29.10909371444408,5.619452665266233
323,11,24,29.035513616695784,6.172134179096202
324,11,25,28.319631082006463,5.743187471064284
325,11,26,28.833154669742036,5.875675003320681
326,11,27,28.867235147079604,5.443950073836345
327,11,28,28.44214741976517,5.182583088807006
328,11,29,28.441189199457163,5.294995430557695
329,11,30,28.532897900782395,5.473748910921743
330,12,1,303.7358724465963,36.97712967221168
331,12,2,280.8111039220352,33.0974423639813
332,12,3,253.47346234327438,25.763624771267242
333,12,4,228.8005540232376,21.103976597584616
334,12,5,207.60189888888826,19.071762437770797
335,12,6,184.33887881666416,18.169467566792814
336,12,7,158.72848852697055,15.234721864274151
337,12,8,133.05394084451027,12.9895989797683
338,12,9,110.49755601372813,11.149838961193582
339,12,10,90.28157165987889,10.126181497870595
340,12,11,73.71658466844158,8.613012215398475
341,12,12,61.30125596393863,7.688500696831019
342,12,13,52.18858802609666,7.205676156075562
343,12,14,45.20136721927228,6.383266037807003
344,12,15,40.055998454470554,5.923936608295642
345,12,16,36.811757017636715,5.676636195569868
346,12,17,33.57414835822092,5.94059942127827
347,12,18,31.78653880187282,5.577083812162788
348,12,19,31.070660021107507,5.9209253195254865
349,12,20,29.884609158022688,5.796626380090152
350,12,21,30.16094542909924,5.758449898481719
351,12,22,29.20727070059359,5.406686788756419
352,12,23,28.595635717920196,5.033620706364982
353,12,24,28.930046530577563,4.956682712518194
354,12,25,28.812381517702896,5.4727186985291105
355,12,26,28.73694382653838,5.431927970156116
356,12,27,28.77079795309491,5.532012619140881
357,12,28,28.621200195385136,5.617873299782506
358,12,29,28.803487601854062,5.496438700856614
359,12,30,28.615099606663392,5.35029670853833
360,13,1,303.8691183801969,37.04723675855867
361,13,2,281.8187145544913,32.95303053766043
362,13,3,253.96079418565145,25.238437331186056
363,13,4,228.78218929583917,20.94799166787101
364,13,5,208.6260403423949,19.72733856107948
365,13,6,185.34015813381626,18.220330813640672
366,13,7,159.9213665108737,16.606472775774677
367,13,8,132.62771046343363,14.083575077757708
368,13,9,109.82267357368683,12.617263878964954
369,13,10,89.51442085785501,10.914691567402222
370,13,11,74.38664149763672,9.520586763279098
371,13,12,61.8368464439562,7.5194773834369375
372,13,13,51.68187670417559,6.924061542027488
373,13,14,44.88272021085489,6.389870774869389
374,13,15,39.73291126856325,6.626235800766506
375,13,16,36.148547164250616,6.36635650073838
376,13,17,33.630947603406526,6.045343484845851
377,13,18,32.266428642399475,6.454254981353751
378,13,19,31.08031934674066,6.423239592220024
379,13,20,29.769027230754524,6.3499981333805255
380,13,21,29.40089076553348,5.920772805519307
381,13,22,29.35544794532857,6.760877118105533
382,13,23,28.993808491911647,6.544999786831728
383,13,24,28.95832952121024,6.467157148538943
384,13,25,28.4721976159879,6.217216306554021
385,13,26,28.50500301326695,6.36065573839771
386,13,27,28.535830870708786,6.407824353424644
387,13,28,28.590218067137215,6.492072376256906
388,13,29,28.584547469389577,6.079059255735559
389,13,30,28.48052748625029,6.153209079360881
390,14,1,303.6134112053284,36.968307792357564
391,14,2,281.7413905574613,34.08401152748401
392,14,3,253.42698346141498,25.522948870597016
393,14,4,228.27731279068195,22.1837478669793
394,14,5,208.64384773560406,19.633922239757997
395,14,6,185.4227521790643,18.549729379026452
396,14,7,159.37201052366458,16.596519321325978
397,14,8,133.91659918443503,13.957374288643924
398,14,9,110.93357002314724,12.989742712499062
399,14,10,91.47944105072476,9.923311945173703
400,14,11,75.3530009786098,8.47674727274712
401,14,12,62.03778984737251,7.7053837486365655
402,14,13,52.15132766318304,7.329446389901164
403,14,14,45.579681248585146,6.627544347252984
404,14,15,40.43958290235111,6.919928798234657
405,14,16,36.83106638495897,5.8363567025323935
406,14,17,34.167437969516655,6.605612087444409
407,14,18,31.15916268331402,6.616672875597472
408,14,19,30.653867395652753,6.468999475534986
409,14,20,30.229529290161576,6.295305951881325
410,14,21,29.68920421464215,6.248916379948742
411,14,22,29.037408707973277,6.424123251511431
412,14,23,29.376445305082164,6.6437987750161955
413,14,24,29.065419466952005,6.30636064462442
414,14,25,29.087849931031297,6.263485451705558
415,14,26,28.77689172602178,6.2990551796347045
416,14,27,28.6968140072856,6.179904890208812
417,14,28,28.66056897883044,6.3957816067140625
418,14,29,28.639014165555118,6.250092539780467
419,14,30,28.734112221323237,6.240510273505472
420,15,1,303.2631144131959,36.22865651578161
421,15,2,281.7321891099727,34.06642559588741
422,15,3,252.45657973021198,25.301204691909103
423,15,4,229.22780898846182,21.90099929330206
424,15,5,209.5987826589892,19.955238536614527
425,15,6,186.92677546128795,18.495210970703933
426,15,7,160.70501925039292,16.873683777911044
427,15,8,134.28477479972494,14.321048832540251
428,15,9,111.67054249869257,13.243389228974952
429,15,10,91.66225469240234,10.551622583309356
430,15,11,75.7637639716584,8.732914023487188
431,15,12,62.78400018011479,8.559656615562746
432,15,13,53.224442041231406,7.6096530100881985
433,15,14,46.20292692718779,6.845086021263804
434,15,15,39.91779025618051,6.81806101739787
435,15,16,36.57968566065294,6.112283517109603
