"Label (Grouping)","Alabama!!Number","Alabama!!Percent","Florida!!Number","Florida!!Percent","Georgia!!Number","Georgia!!Percent","Louisiana!!Number","Louisiana!!Percent","Mississippi!!Number","Mississippi!!Percent","North Carolina!!Number","North Carolina!!Percent","South Carolina!!Number","South Carolina!!Percent","Texas!!Number","Texas!!Percent","Virginia!!Number","Virginia!!Percent","Puerto Rico!!Number","Puerto Rico!!Percent"
"        Less than $50,000","176,187","19.2","232,080","7.2","151,952","9.5","169,223","19.6","151,982","28.6","140,292","8.7","103,516","13.2","875,444","22.7","91,881","6.1","227,248","27.8"
"        $50,000 to $99,999","392,400","42.7","1,287,169","39.7","545,851","34.2","369,252","42.7","234,011","44.0","591,362","36.6","320,410","40.9","1,561,509","40.6","462,870","30.6","380,055","46.5"
"        $100,000 to $149,999","180,391","19.6","839,775","25.9","411,817","25.8","173,997","20.1","82,508","15.5","421,786","26.1","173,497","22.1","700,830","18.2","373,288","24.7","115,021","14.1"
"        $150,000 to $199,999","84,488","9.2","407,296","12.6","211,796","13.3","78,622","9.1","33,465","6.3","219,174","13.6","86,657","11.1","335,179","8.7","233,999","15.5","46,125","5.6"
"        $200,000 to $299,999","52,724","5.7","270,659","8.3","163,422","10.2","47,645","5.5","20,681","3.9","152,531","9.4","58,246","7.4","223,968","5.8","209,613","13.9","31,238","3.8"
"        $300,000 to $499,999","23,363","2.5","132,683","4.1","81,487","5.1","18,778","2.2","7,009","1.3","66,292","4.1","28,626","3.7","104,821","2.7","107,093","7.1","12,528","1.5"
"        $500,000 to $999,999","7,052","0.8","54,446","1.7","25,025","1.6","5,955","0.7","1,733","0.3","20,265","1.3","9,893","1.3","37,697","1.0","28,041","1.9","4,341","0.5"
"        $1,000,000 or more","1,965","0.2","18,094","0.6","5,058","0.3","1,338","0.2","902","0.2","4,011","0.2","3,064","0.4","10,137","0.3","4,013","0.3","1,371","0.2"
"        Median (dollars)","85,100","(X)","105,500","(X)","111,200","(X)","85,000","(X)","71,400","(X)","108,300","(X)","94,900","(X)","82,500","(X)","125,400","(X)","75,100","(X)"
"    MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS","","","","","","","","","","","","","","","","","","","",""
"        With a mortgage","587,895","64.0","2,323,452","71.7","1,201,569","75.3","516,660","59.7","330,697","62.1","1,116,287","69.1","523,848","66.8","2,471,978","64.2","1,135,138","75.1","307,109","37.5"
"            Less than $300","10,262","1.1","12,975","0.4","9,945","0.6","9,061","1.0","9,848","1.9","8,652","0.5","6,288","0.8","20,398","0.5","7,700","0.5","26,897","3.3"
"            $300 to $499","68,978","7.5","122,608","3.8","62,752","3.9","59,994","6.9","51,018","9.6","68,577","4.2","45,330","5.8","165,939","4.3","53,357","3.5","74,915","9.2"
"            $500 to $699","134,983","14.7","335,230","10.3","151,935","9.5","117,134","13.5","83,384","15.7","164,915","10.2","98,514","12.6","374,627","9.7","119,751","7.9","80,245","9.8"
"            $700 to $999","180,970","19.7","683,336","21.1","340,221","21.3","163,772","18.9","100,425","18.9","331,732","20.5","163,177","20.8","706,875","18.4","271,257","18.0","69,657","8.5"
"            $1,000 to $1,499","130,570","14.2","700,028","21.6","382,584","24.0","113,638","13.1","60,236","11.3","341,818","21.2","136,760","17.4","710,869","18.5","357,075","23.6","36,691","4.5"
"            $1,500 to $1,999","38,595","4.2","266,771","8.2","148,180","9.3","31,802","3.7","16,843","3.2","121,996","7.6","44,792","5.7","278,944","7.2","188,573","12.5","10,881","1.3"
"            $2,000 or more","23,537","2.6","202,504","6.2","105,952","6.6","21,259","2.5","8,943","1.7","78,597","4.9","28,987","3.7","214,326","5.6","137,425","9.1","7,823","1.0"
"            Median (dollars)","816","(X)","1,004","(X)","1,039","(X)","816","(X)","752","(X)","985","(X)","894","(X)","986","(X)","1,144","(X)","625","(X)"
"        Not mortgaged","330,675","36.0","918,750","28.3","394,839","24.7","348,150","40.3","201,594","37.9","499,426","30.9","260,061","33.2","1,377,607","35.8","375,660","24.9","510,818","62.5"
"            Median (dollars)","228","(X)","306","(X)","259","(X)","232","(X)","232","(X)","254","(X)","240","(X)","296","(X)","263","(X)","124","(X)"
"    SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999","","","","","","","","","","","","","","","","","","","",""
"        Less than 15 percent","399,917","43.5","1,107,462","34.2","581,615","36.4","395,010","45.7","225,719","42.4","609,586","37.7","320,341","40.9","1,568,141","40.7","536,260","35.5","330,761","40.4"
"        15 to 19 percent","156,176","17.0","546,299","16.8","293,480","18.4","138,608","16.0","85,178","16.0","285,718","17.7","136,112","17.4","701,804","18.2","278,247","18.4","90,125","11.0"
"        20 to 24 percent","110,978","12.1","443,882","13.7","225,005","14.1","94,953","11.0","61,336","11.5","222,935","13.8","100,301","12.8","509,176","13.2","228,390","15.1","70,746","8.6"
"        25 to 29 percent","67,849","7.4","307,703","9.5","147,360","9.2","60,192","7.0","39,231","7.4","147,582","9.1","64,940","8.3","315,316","8.2","151,378","10.0","53,826","6.6"
"        30 to 34 percent","42,840","4.7","204,169","6.3","91,954","5.8","38,474","4.4","26,433","5.0","92,183","5.7","40,544","5.2","192,337","5.0","94,216","6.2","41,045","5.0"
"        35 percent or more","127,930","13.9","601,349","18.5","242,927","15.2","123,015","14.2","85,408","16.0","242,455","15.0","112,189","14.3","522,231","13.6","213,042","14.1","196,785","24.1"
"        Not computed","12,880","1.4","31,338","1.0","14,067","0.9","14,558","1.7","8,986","1.7","15,254","0.9","9,482","1.2","40,580","1.1","9,265","0.6","34,639","4.2"
"Specified renter-occupied units","469,129","100.0","1,889,455","100.0","964,446","100.0","525,722","100.0","282,500","100.0","944,275","100.0","421,146","100.0","2,649,196","100.0","843,433","100.0","339,426","100.0"
"    GROSS RENT","","","","","","","","","","","","","","","","","","","",""
"        Less than $200","47,066","10.0","71,963","3.8","58,334","6.0","42,721","8.1","29,597","10.5","52,432","5.6","27,496","6.5","117,323","4.4","41,617","4.9","74,886","22.1"
"        $200 to $299","48,015","10.2","64,650","3.4","55,958","5.8","48,384","9.2","30,029","10.6","53,063","5.6","31,965","7.6","123,921","4.7","36,814","4.4","51,725","15.2"
"        $300 to $499","159,828","34.1","347,435","18.4","201,087","20.9","180,965","34.4","94,192","33.3","253,017","26.8","122,673","29.1","665,505","25.1","159,610","18.9","80,088","23.6"
"        $500 to $749","123,614","26.3","722,946","38.3","301,088","31.2","150,656","28.7","73,158","25.9","328,027","34.7","139,071","33.0","981,603","37.1","258,786","30.7","30,744","9.1"
"        $750 to $999","30,122","6.4","392,136","20.8","200,611","20.8","36,729","7.0","16,861","6.0","129,815","13.7","40,644","9.7","408,142","15.4","170,908","20.3","7,583","2.2"
"        $1,000 to $1,499","9,101","1.9","155,594","8.2","75,550","7.8","11,752","2.2","4,000","1.4","39,870","4.2","13,136","3.1","167,914","6.3","96,258","11.4","3,360","1.0"
"        $1,500 or more","2,434","0.5","46,265","2.4","13,285","1.4","3,666","0.7","1,379","0.5","9,705","1.0","4,277","1.0","41,170","1.6","30,264","3.6","1,516","0.4"
"        No cash rent","48,949","10.4","88,466","4.7","58,533","6.1","50,849","9.7","33,284","11.8","78,346","8.3","41,884","9.9","143,618","5.4","49,176","5.8","89,524","26.4"
"        Median (dollars)","447","(X)","641","(X)","613","(X)","466","(X)","439","(X)","548","(X)","510","(X)","574","(X)","650","(X)","297","(X)"
"    GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999","","","","","","","","","","","","","","","","","","","",""
"        Less than 15 percent","92,000","19.6","276,173","14.6","177,210","18.4","97,912","18.6","53,441","18.9","182,032","19.3","80,320","19.1","498,475","18.8","153,292","18.2","52,791","15.6"
"        15 to 19 percent","61,017","13.0","253,428","13.4","140,798","14.6","65,760","12.5","35,695","12.6","137,187","14.5","59,832","14.2","405,696","15.3","130,884","15.5","29,163","8.6"
"        20 to 24 percent","51,356","10.9","244,091","12.9","123,890","12.8","56,910","10.8","30,417","10.8","119,406","12.6","50,027","11.9","356,043","13.4","116,516","13.8","25,851","7.6"
"        25 to 29 percent","41,425","8.8","201,446","10.7","97,915","10.2","45,051","8.6","24,100","8.5","90,607","9.6","37,688","8.9","269,717","10.2","92,056","10.9","20,656","6.1"
"        30 to 34 percent","29,476","6.3","149,658","7.9","70,813","7.3","32,514","6.2","17,582","6.2","62,903","6.7","27,365","6.5","191,319","7.2","63,960","7.6","16,087","4.7"
"        35 percent or more","128,349","27.4","622,632","33.0","270,671","28.1","156,882","29.8","77,959","27.6","251,831","26.7","112,878","26.8","717,156","27.1","221,808","26.3","87,846","25.9"
"        Not computed","65,506","14.0","142,027","7.5","83,149","8.6","70,693","13.4","43,306","15.3","100,309","10.6","53,036","12.6","210,790","8.0","64,917","7.7","107,032","31.5"
