,fipsCode,housing_cluster,econ_cluster
1229,45085,0,2
1230,45085,0,2
1231,45089,0,2
1232,45089,0,2
1233,37015,0,2
1234,37015,0,2
1235,37015,0,2
1236,37029,0,3
1237,37029,0,3
1238,37029,0,3
1239,37041,0,2
1240,37041,0,2
1241,37041,0,2
1242,37053,0,3
1243,37053,0,3
1244,37053,0,3
1245,37055,0,3
1246,37055,0,3
1247,37055,0,3
1248,37065,0,2
1249,37065,0,2
1250,37065,0,2
1251,37073,0,0
1252,37073,0,0
1253,37073,0,0
1254,37083,0,2
1255,37083,0,2
1256,37083,0,2
1257,37091,0,2
1258,37091,0,2
1259,37091,0,2
1260,37117,0,2
1261,37117,0,2
1262,37117,0,2
1263,37127,0,0
1264,37127,0,0
1265,37127,0,0
1266,37131,0,2
1267,37131,0,2
1268,37131,0,2
1269,37139,0,0
1270,37139,0,0
1271,37139,0,0
1272,37143,0,0
1273,37143,0,0
1274,37143,0,0
1275,37183,1,3
1276,37183,1,3
1277,37187,0,2
1278,37187,0,2
1279,37187,0,2
1280,13029,0,3
1281,13029,0,3
1282,13031,0,2
1283,13031,0,2
1284,13103,0,3
1285,13103,0,3
1286,13109,0,2
1287,13109,0,2
1288,13183,0,0
1289,13183,0,0
1290,13305,0,2
1291,13305,0,2
1292,28001,0,2
1293,28001,0,2
1294,28001,0,2
1295,28023,0,2
1296,28023,0,2
1297,28023,0,2
1298,28029,0,2
1299,28029,0,2
1300,28035,0,2
1301,28035,0,2
1302,28037,0,2
1303,28037,0,2
1304,28049,2,2
1305,28049,2,2
1306,28063,0,4
1307,28063,0,4
1308,28067,0,2
1309,28067,0,2
1310,28073,0,0
1311,28073,0,0
1312,28085,0,2
1313,28085,0,2
1314,28091,0,2
1315,28091,0,2
1316,28149,0,2
1317,28149,0,2
1318,37181,0,2
1319,37181,0,2
1320,37185,0,2
1321,37185,0,2
1322,12065,0,2
1323,12065,0,2
1324,12065,0,2
1325,12079,0,2
1326,12079,0,2
1327,12079,0,2
1328,48465,0,0
1329,48061,2,2
1330,48061,2,2
1331,48215,2,2
1332,48215,2,2
1333,48303,2,0
1334,48323,0,2
1335,48427,0,4
1336,48479,0,0
1337,48505,0,4
1338,13121,1,3
1339,13121,1,3
1340,13217,0,0
1341,13001,0,2
1342,13003,0,2
1343,13005,0,2
1344,13017,0,2
1345,13019,0,2
1346,13019,0,2
1347,13025,0,2
1348,13027,0,2
1349,13027,0,2
1350,13033,0,2
1351,13035,0,0
1352,13043,0,2
1353,13065,0,2
1354,13071,0,2
1355,13073,0,3
1356,13075,0,2
1357,13075,0,2
1358,13091,0,2
1359,13105,0,2
1360,13107,0,2
1361,13141,0,4
1362,13155,0,2
1363,13161,0,2
1364,13163,0,2
1365,13165,0,4
1366,13167,0,2
1367,13173,0,2
1368,13181,0,2
1369,13185,0,2
1370,13185,0,2
1371,13189,0,2
1372,13209,0,2
1373,13229,0,2
1374,13241,0,0
1375,13241,0,0
1376,13245,0,2
1377,13251,0,2
1378,13257,0,2
1379,13267,0,2
1380,13271,0,2
1381,13279,0,2
1382,13283,0,2
1383,13299,0,2
1384,13301,0,2
1385,13303,0,2
1386,13309,0,2
1387,13317,0,2
1388,28151,0,2
1389,48423,0,0
1390,48005,0,0
1391,48005,0,0
1392,48073,0,0
1393,48183,0,0
1394,48203,0,0
1395,48225,0,2
1396,48313,0,0
1397,48401,0,0
1398,48405,0,2
1399,48405,0,2
1400,48477,0,3
1401,22009,0,2
1402,22025,0,2
1403,22029,0,4
1404,22029,0,4
1405,22035,0,4
1406,22039,0,2
1407,22039,0,2
1408,22039,0,2
1409,22041,0,2
1410,22041,0,2
1411,22065,0,4
1412,22083,0,2
1413,22123,0,2
1414,48489,0,2
1415,48001,0,0
1416,48003,0,3
1417,48019,0,0
1418,48031,0,3
1419,48049,0,2
1420,48051,0,0
1421,48053,0,3
1422,48097,0,0
1423,48115,0,2
1424,48475,0,0
1425,01075,0,2
1426,01075,0,2
1427,01023,0,2
1428,01023,0,2
1429,01063,0,4
1430,01063,0,4
1431,01065,0,2
1432,01065,0,2
1433,01107,0,2
1434,01107,0,2
1435,01119,0,4
1436,01119,0,4
1437,01125,0,0
1438,01125,0,0
1439,28015,0,2
1440,28057,0,0
1441,28071,0,0
1442,28097,0,2
1443,28007,0,2
1444,28019,0,2
1445,28021,0,4
1446,28031,0,2
1447,28051,0,4
1448,28053,0,4
1449,28061,0,2
1450,28065,0,4
1451,28069,0,2
1452,28075,0,2
1453,28075,0,2
1454,28077,0,2
1455,28079,0,2
1456,28087,0,2
1457,28089,0,3
1458,28099,0,2
1459,28101,0,2
1460,28103,0,2
1461,28105,0,2
1462,28111,0,2
1463,28111,0,2
1464,28121,0,3
1465,28123,0,2
1466,28127,0,2
1467,28129,0,2
1468,28153,0,4
1469,28153,0,4
1470,28159,0,2
1471,28163,0,2
1472,22013,0,4
1473,22021,0,2
1474,22119,0,4
1475,45021,0,2
1476,45021,0,2
1477,45023,0,2
1478,45023,0,2
1479,45039,0,2
1480,45039,0,2
1481,45045,2,0
1482,45045,2,0
1483,45055,0,0
1484,45055,0,0
1485,45057,0,0
1486,45063,2,3
1487,45063,2,3
1488,45071,0,0
1489,45071,0,0
1490,45073,0,0
1491,45073,0,0
1492,45077,0,0
1493,45077,0,0
1494,45079,2,0
1495,45079,2,0
1496,45083,2,0
1497,45083,2,0
1498,45091,2,3
1499,45091,2,3
1500,13063,2,0
1501,13045,0,0
1502,13057,2,1
1503,13067,2,3
1504,13083,0,0
1505,13085,0,3
1506,13089,2,3
1507,13117,0,1
1508,13119,0,2
1509,13123,0,0
1510,13195,0,0
1511,13227,0,3
1512,13281,0,0
1513,13291,0,0
1514,13311,0,0
1515,37001,0,0
1516,37005,0,2
1517,37005,0,2
1518,37033,0,0
1519,37057,0,0
1520,37057,0,0
1521,37067,2,0
1522,37151,0,0
1523,37157,0,2
1524,37169,0,0
1525,37193,0,2
1526,37193,0,2
1527,37009,0,2
1528,37009,0,2
1529,37011,0,0
1530,37011,0,0
1531,37023,0,2
1532,37023,0,2
1533,37027,0,2
1534,37027,0,2
1535,37089,0,0
1536,37089,0,0
1537,37099,0,2
1538,37099,0,2
1539,37111,0,2
1540,37111,0,2
1541,37113,0,2
1542,37115,0,0
1543,37115,0,0
1544,37121,0,0
1545,37121,0,0
1546,37149,0,0
1547,37149,0,0
1548,37161,0,2
1549,37161,0,2
1550,37173,0,2
1551,37189,0,2
1552,37189,0,2
1553,37199,0,2
1554,37199,0,2
1555,01005,0,2
1556,01009,0,0
1557,01017,0,2
1558,01027,0,2
1559,01055,0,2
1560,01057,0,2
1561,01067,0,0
1562,01077,0,0
1563,01083,0,3
1564,01087,0,2
1565,01089,2,3
1566,01103,0,0
1567,01111,0,2
1568,01113,0,2
1569,01115,0,3
1570,01127,0,2
1571,01001,0,0
1572,01007,0,2
1573,01011,0,4
1574,01013,0,2
1575,01015,0,2
1576,01021,0,0
1577,01031,0,0
1578,01033,0,2
1579,01035,0,2
1580,01037,0,2
1581,01039,0,2
1582,01041,0,2
1583,01043,0,0
1584,01045,0,2
1585,01049,0,2
1586,01051,0,3
1587,01059,0,2
1588,01061,0,2
1589,01069,0,0
1590,01071,0,2
1591,01073,2,0
1592,01079,0,0
1593,01081,0,0
1594,01085,0,4
1595,01093,0,2
1596,01095,0,0
1597,01099,0,2
1598,01101,2,0
1599,01109,0,2
1600,01117,0,3
1601,01121,0,2
1602,01123,0,0
1603,01133,0,2
1604,37003,0,0
1605,37025,0,3
1606,37035,0,0
1607,37045,0,2
1608,37071,2,0
1609,37097,0,3
1610,37109,0,3
1611,37119,1,3
1612,51001,0,0
1613,51003,0,3
1614,51007,0,0
1615,51009,0,0
1616,51011,0,0
1617,51013,0,1
1618,51015,0,3
1619,51019,0,3
1620,51025,0,2
1621,51029,0,0
1622,51031,0,0
1623,51033,0,3
1624,51036,0,0
1625,51037,0,2
1626,51041,2,3
1627,51043,0,1
1628,51047,0,3
1629,51049,0,2
1630,51053,0,3
1631,51057,0,2
1632,51059,1,1
1633,51061,0,1
1634,51065,0,3
1635,51069,0,3
1636,51073,0,3
1637,51075,0,1
1638,51079,0,3
1639,51081,0,2
1640,51083,0,2
1641,51085,0,1
1642,51087,2,3
1643,51093,0,3
1644,51095,0,1
1645,51097,0,0
1646,51099,0,1
1647,51101,0,3
1648,51103,0,0
1649,51107,2,1
1650,51109,0,3
1651,51111,0,2
1652,51113,0,3
1653,51115,0,3
1654,51117,0,2
1655,51119,0,0
1656,51125,0,0
1657,51127,0,1
1658,51131,0,2
1659,51133,0,0
1660,51135,0,0
1661,51137,0,3
1662,51139,0,0
1663,51143,0,2
1664,51145,0,1
1665,51147,0,2
1666,51149,0,3
1667,51153,2,1
1668,51157,0,3
1669,51159,0,0
1670,51163,0,0
1671,51165,0,3
1672,51171,0,0
1673,51175,0,0
1674,51177,0,1
1675,51179,0,1
1676,51181,0,0
1677,51183,0,0
1678,51187,0,3
1679,51193,0,0
1680,51199,0,1
1681,51510,0,1
1682,51530,0,2
1683,51540,0,0
1684,51570,0,3
1685,51590,0,2
1686,51595,0,2
1687,51600,0,1
1688,51610,0,1
1689,51620,0,0
1690,51630,0,3
1691,51660,0,0
1692,51670,0,2
1693,51680,0,0
1694,51683,0,1
1695,51685,0,3
1696,51730,0,2
1697,51735,0,1
1698,51760,2,0
1699,51790,0,0
1700,51820,0,2
1701,51830,0,0
1702,51840,0,0
1703,37069,0,0
1704,37077,0,0
1705,37145,0,0
1706,48013,0,0
1707,48163,0,0
1708,48297,0,2
1709,48507,0,2
1710,45001,0,2
1711,45003,0,0
1712,45007,0,0
1713,45037,0,0
1714,45047,0,2
1715,45059,0,2
1716,45065,0,2
1717,45081,0,2
1718,45087,0,2
