,Code,Name,Date,Time in UTC,Record Identifier,Status,Latitude,Longitude,Max Wind,Min Pressure,34 kt wind radii maximum extent in northeastern quadrant,34 kt wind radii maximum extent in southeastern quadrant,34 kt wind radii maximum extent in northwestern quadrant,34 kt wind radii maximum extent in southwestern quadrant,50 kt wind radii maximum extent in northeastern quadrant,50 kt wind radii maximum extent in southeastern quadrant,50 kt wind radii maximum extent in northwestern quadrant,50 kt wind radii maximum extent in southwestern quadrant,64 kt wind radii maximum extent in northeastern quadrant,64 kt wind radii maximum extent in southeastern quadrant,64 kt wind radii maximum extent in northwestern quadrant,64 kt wind radii maximum extent in southwestern quadrant,Radius of Max Wind
127,AL041852,UNNAMED,18520929, 0600,, HU, 28.2N,  72.9W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
128,AL041852,UNNAMED,18520929, 1200,, HU, 29.0N,  72.3W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
129,AL041852,UNNAMED,18520929, 1800,, HU, 30.2N,  71.5W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
130,AL041852,UNNAMED,18520930, 0000,, HU, 31.6N,  70.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
131,AL041852,UNNAMED,18520930, 0600,, HU, 32.7N,  69.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
132,AL041852,UNNAMED,18520930, 1200,, HU, 33.8N,  69.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
133,AL041852,UNNAMED,18520930, 1800,, HU, 34.9N,  68.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
134,AL051852,UNNAMED,18521009, 0000,, HU, 25.6N,  86.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
135,AL051852,UNNAMED,18521009, 0600,, HU, 26.9N,  85.9W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
136,AL051852,UNNAMED,18521009, 1200,, HU, 28.0N,  85.5W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
137,AL051852,UNNAMED,18521009, 1800,, HU, 29.2N,  84.9W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
138,AL051852,UNNAMED,18521009, 2100, L, HU, 29.9N,  84.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
139,AL051852,UNNAMED,18521010, 0000,, HU, 30.5N,  83.9W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
140,AL051852,UNNAMED,18521010, 0600,, TS, 31.8N,  82.8W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
141,AL051852,UNNAMED,18521010, 1200,, TS, 33.0N,  81.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
142,AL051852,UNNAMED,18521010, 1800,, TS, 34.0N,  79.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
143,AL051852,UNNAMED,18521011, 0000,, TS, 35.0N,  77.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
144,AL051852,UNNAMED,18521011, 0600,, TS, 36.0N,  74.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
145,AL051852,UNNAMED,18521011, 1200,, TS, 38.0N,  70.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
146,AL051852,UNNAMED,18521011, 1800,, TS, 40.0N,  66.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
147,AL011853,UNNAMED,18530805, 1200,, TS, 32.5N,  69.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
148,AL031853,UNNAMED,18530906, 0600,, HU, 28.2N,  72.9W, 120, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
149,AL031853,UNNAMED,18530906, 1200,, HU, 29.1N,  73.5W, 120, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
150,AL031853,UNNAMED,18530906, 1800,, HU, 30.2N,  74.0W, 120, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
151,AL031853,UNNAMED,18530907, 0000,, HU, 31.2N,  74.3W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
