disasterNumber,declarationTitle,state,Date,fipsStateCode,fipsCountyCode,year,county,validReg_own,DamageBetween1and1000,DamageBetween10001and2000,DamageBetween20001and3000,DamageGreaterThan3000,validReg_rent,ModerateDamage_rent,MajorDamage_rent,SubstDamage_rent,fipsCode,LATITUDE_county,LONGITUDE_county
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,471,2024,Walker (County),2849.0,441.0,29.0,1.0,2.0,2409.0,38.0,1.0,0.0,48471,30.725832,-95.538696
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,471,2017,Walker (County),1128.0,515.0,30.0,8.0,3.0,769.0,86.0,6.0,0.0,48471,30.725832,-95.538696
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,471,2008,Walker (County),1989.0,586.0,9.0,2.0,9.0,1649.0,0.0,0.0,0.0,48471,30.725832,-95.538696
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,471,2005,Walker (County),1498.0,659.0,5.0,1.0,9.0,914.0,0.0,0.0,0.0,48471,30.725832,-95.538696
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,473,2024,Waller (County),1449.0,142.0,17.0,0.0,1.0,939.0,25.0,0.0,0.0,48473,29.996824,-95.953615
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,473,2017,Waller (County),1381.0,551.0,166.0,60.0,11.0,951.0,104.0,1.0,0.0,48473,29.996824,-95.953615
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,473,2008,Waller (County),432.0,155.0,5.0,1.0,2.0,201.0,0.0,0.0,0.0,48473,29.996824,-95.953615
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,481,2024,Wharton (County),3957.0,711.0,122.0,8.0,1.0,2713.0,101.0,0.0,0.0,48481,29.276712,-96.175435
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,481,2017,Wharton (County),3102.0,862.0,455.0,218.0,147.0,2401.0,391.0,15.0,0.0,48481,29.276712,-96.175435
4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,9,2022,Brevard (County),920.0,314.0,10.0,0.0,8.0,932.0,49.0,0.0,0.0,12009,28.225111,-80.690892
4673,HURRICANE IAN,FL,2022-09-23 00:00:00+00:00,12,9,2022,Brevard (County),6326.0,607.0,194.0,46.0,21.0,7681.0,164.0,3.0,0.0,12009,28.225111,-80.690892
4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,9,2017,Brevard (County),35084.0,7417.0,417.0,52.0,30.0,28706.0,1083.0,141.0,0.0,12009,28.225111,-80.690892
4283,HURRICANE MATTHEW,FL,2016-10-03 00:00:00+00:00,12,9,2016,Brevard (County),4056.0,1769.0,6.0,1.0,3.0,1214.0,70.0,6.0,0.0,12009,28.225111,-80.690892
1609,HURRICANE WILMA,FL,2005-10-23 00:00:00+00:00,12,9,2005,Brevard (County),1057.0,655.0,47.0,14.0,11.0,634.0,0.0,0.0,0.0,12009,28.225111,-80.690892
4834,HURRICANE MILTON ,FL,2024-10-05 00:00:00+00:00,12,9,2024,Brevard (County),7744.0,714.0,76.0,4.0,8.0,6548.0,126.0,2.0,0.0,12009,28.225111,-80.690892
